Timestamp,In which course are you enrolled?,Course design [The Tuesday/Thursday class sessions have helped me learn the course material.],Course design [The RStudio primers have helped me learn the course material.],Course design [The assigned readings have helped me learn the course materials.],Course design [The Team Activities have helped me learn the course materials.],Course design [The Application Tasks have helped me learn the course materials.],Course design [The Learning Journals have helped me learn the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"What as been the *best* aspect of this course so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Optional: Provide any additional comments that you have about the course here.
2020-05-31T17:05:32Z,STA 518,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,I have found the application tasks and activities helpful because I feel that I have learned a lot about coding with R.,"I would ideally reduce the number of homework assignments per week by half, as sometimes it is a struggle to complete four lengthy assignments and five learning journals each week.",I could spend more time over the weekend trying to get ahead on the readings and assignments.,NA
2020-06-01T13:20:25Z,STA 518,Moderately agree,Strongly disagree,Moderately agree,Strongly agree,Strongly agree,Moderately disagree,Moderately agree,Slightly disagree,Moderately agree,"I love the structure: the application task, the team activities, and how everything is organized using GitHub classroom.","Being the Learning Journal obligatory for each day of the week. I only mean to write like 3 times a week, the other 2 are just things to get the grade. Also, the grading of the learning journal I think isn't the best, because it is kind of subjective and there is no way to refute those grades. Even when I truly mean what I'm writing down, I got a P, and it is kind of frustrating. Because the name gives me the impression that is more than just a grade, its a way of expressing yourself with thoughts, issues, or solutions you found.","I'm in favor or the Learning journal, it's a great tool, but I would change it's grading.",NA
2020-06-01T13:26:31Z,STA 518,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Understanding and learning with an order of themes help a lot to develop my skills,"The learning journal somehow feels subjective in the grading, not all people have the same way to associate the information and thoughts","Focus only on the work I am doing, blocking distractions will help me better manage time",NA
2020-06-01T13:41:26Z,STA 518,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Moderately disagree,Moderately agree,Slightly disagree,Strongly agree,I think the instructions match the assignments pretty well.,I am not a fan of the group work. In class it would be fine but for an online class it takes away the flexibility I wanted to gain from online coursework. I will admit though that my group has helped me understand things a few times.,I stopped taking notes and copying examples of syntax into a google doc. I often struggle with syntax and it can be easy to forget little tricks so I should get back to that.,The course is interesting. I like the material and I am learning a lot.
2020-06-01T14:15:07Z,STA 518,Moderately agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Moderately disagree,Strongly agree,Moderately agree,Slightly agree,Learning R code and applying it has beent the best aspect of the course so far.,"One thing I would change about the course is the learning journals.  I'm not sure how much I'm actually getting out of the task, but it doesn't feel like it is enhancing my learning.  It feels somewhat like a daily task that can get in the way of learning at times.","I need to figure out a way to devote more time to class work during the week, when it is most difficult for my schedule.  I plan to commit to completing at least some course work every day of the week, and have been on track for this for at least a week now.","I love learning and working with code.  I do feel a little overwhelmed with the time I am dedicating sometimes, and am fearful how I will hold up after 11 weeks.  I thought spring and summer terms were 7-8 weeks, so 7 more weeks without any breaks of devoting every spare minute of my day to course work seems daunting and feels like a  heavy weight now."
2020-06-01T14:18:10Z,STA 418,Moderately agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,The minor technical hiccups (although unintended) help us learn to solve our own problems and how to describe issues in a meaningful and accurate way to other when seeking assistance.,Although this class translates online much better than other courses. I would have preferred to have the face-to-face interactions (but there's not much we can do about that),This is a tough one since I feel I have a really good handle on things right now. But I want to dive into all the customization options that R has.,NA
2020-06-01T15:02:00Z,STA 418,Slightly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Moderately agree,Strongly agree,The applications and activities with RStudio. I like actually implementing what we learn and getting to see the results.,To teach more code examples during class sessions. I sometimes feel like I have no idea what I'm doing.,I don't know.,NA
2020-06-01T18:40:57Z,STA 518,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Moderately agree,Strongly agree,Hands-on learning involved in the application tasks and team activities,"It's hard to keep up with 5 learning journals a week, and sometimes they feel like busy work. I would lower the requirement to 3 a week.",Be more involved at blackboard collaborate class sessions,"Overall I am really enjoying the semester and the application-based learning this course has to offer. Bradford is open and available, and helpful when people have questions. Keep up the good work!"
2020-06-01T21:50:09Z,STA 518,Slightly agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Live sessions and primers. Though i wish the live sessions had more focus on how to do things.,"Less work load, I currently feel overburdened. Lessen the work load a bit. I am relatively new to the whole understanding programming and having 4 assignments a week, plus learning journals  is quite tough to keep up. Some people still have jobs that are 40 plus a week. I have spend several hours after work doing the readings, taking notes, and attempting to get the assignments done on time.  Another thing would be maybe some more notes from the professor, or examples that will help direct where i am learning. Things that will help in the activities and focus on the aspects the professor wants us to solidify.",Idk better time management. It just feels like so many hours are being put into this class.,NA
2020-06-02T13:14:34Z,STA 518,Moderately agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Moderately disagree,Moderately agree,Slightly agree,Moderately agree,The primers are the most effective,learning journals,maybe attend sessions instead of watching later.,NA
